H3K4me3	H3K9me2	H3K27me3	H3K5ac	H3K56ac	Mnase	ATAQ	Transcripts_ds	Exons_ds	TE_ds	SNPs_ds	TSS_dt	TTS_dt	Telomere_dt	Centromere_dt	AT	CG	mCG	mCHG	Motif_ds	class
0.0428049018767907	0.771377803540215	0.0245977287407543	0.146097793026883	0.117754409584385	0.361111111111111	0	0	0	0.34375	0.0952380952380952	0.0352542257682657	0.00137044384208853	0.0403362965003807	0.770272695618591	0.533407572383073	0.466592427616926	1	0	0	1
0.013400108971231	0.847079305355361	0.0257702541018726	0.0636650873166567	0.00676038409676653	0.285714285714286	0.0512820512820513	0	0	0.0625	0.416666666666667	0.0615632085819959	0.0734607114193558	0.0442192694038549	0.766815064875013	0.526726057906459	0.473273942093541	1	1	0	1
0.0634716784854285	0.641897791254646	0.0285923164539605	0.720885286529199	0.343695148880487	0.603174603174603	0	0	0	0	0.178571428571429	0.000177469995298933	0.00157487469146085	0.0463325302976577	0.764933291291407	0.364142538975501	0.635857461024499	0	0	0	1
0.0383373523106269	0.75617637951638	0.0404468248293615	0.267620429396811	0.15348326234799	0.702380952380952	0.0641025641025641	0.111111111111111	0.176470588235294	0	0.19047619047619	0.00185777101461862	0	0.0495445065453722	0.76207315600388	0.464365256124722	0.535634743875278	0	0	0	1
0.192135277387318	0.511476924610244	0.0521662653955932	0.166048227404686	0.217987916763655	0.408730158730159	0	0.333333333333333	0.294117647058824	0	0.214285714285714	0	0	0.0501426568015209	0.761540527328287	0.33184855233853	0.66815144766147	0	0	0	1
0.02192461886313	0.741689056458061	0.0891796323214875	0.237978097206708	0.0560325484052938	0.329365079365079	0.128205128205128	0	0	0	0.119047619047619	0.00518061347979013	0.00715507972803126	0.0501717886132042	0.76151458662507	0.580178173719376	0.419821826280624	0	0	0	1
0.0236751682061365	0.969646045512971	0.0322275212116301	0.12759211781743	0.079818405440602	0.234126984126984	0.0512820512820513	0.111111111111111	0.235294117647059	0.03125	0.321428571428571	0.00172561250748112	0.000910474431000803	0.0506454015553351	0.761092853404165	0.714922048997773	0.285077951002227	1	0	0	1
0.0171959853345989	0.808383832075983	0.300570670042337	0.102315957768787	0.0391546557787522	0.0833333333333333	0.0384615384615385	0	0	0.125	0.0476190476190476	0.00581308633537676	0.00173955509789966	0.053546463026238	0.75850957518406	0.720489977728285	0.279510022271715	1	1	0	1
0.509401054427032	0.258504885016928	0.0464154542193645	0.184490113341323	0.282568851589253	0.297619047619048	0	0.222222222222222	0.176470588235294	0	0.25	0.000745751575990198	0	0.0572119426958572	0.755245613392234	0.21826280623608	0.78173719376392	0	0	0	1
0.0142515948640619	0.577154172893177	0.11285377080258	0.238498590528515	0.106298192966894	0.55952380952381	0.0256410256410256	0	0	0	0.166666666666667	0.000923221571289131	0.00302481941941639	0.0578338937163809	0.754691791096014	0.364142538975501	0.635857461024499	0	0	0	1
0.0183578258986487	0.878757009381748	0.0148646398288639	0.0963598040719272	0.0225221186975606	0.214285714285714	0.0512820512820513	0.111111111111111	0.0588235294117647	0.09375	0.666666666666667	0.0112901124668896	0	0.0627484377703271	0.75031558785329	0.652561247216036	0.347438752783964	1	1	0	1
0.0845793517464688	0.518166798346762	0.0305431059509509	0.133371154490833	0.169084834301125	0.242063492063492	0	0.111111111111111	0.0588235294117647	0.03125	0.19047619047619	0	0.000249859927010615	0.0642469344352307	0.748981237017856	0.422048997772829	0.577951002227171	0	0	0	1
0.378888364764433	0.123564271681431	0.251155342684129	0.0758569817359097	0.0975283050125928	0.400793650793651	0.0128205128205128	0.111111111111111	0.117647058823529	0	0.166666666666667	0.000679672322421446	0.000403183064039856	0.0667896618009231	0.746717040864365	0.134743875278396	0.865256124721604	0	0	0	1
0.0706225345597619	0.754511963086748	0.0943881205981146	0.254649491518063	0.145354024984324	0.5	0	0.111111111111111	0.0588235294117647	0.0625	0.178571428571429	0.00205978473267166	0	0.0798100632870895	0.735122898543152	0.599109131403118	0.400890868596882	0.5	0	0	1
